Tech|meters|Feedertype|att_dB
G900|1|RRU TOP JUMPER|0.13
G900|2|RRU TOP JUMPER|0.21
G900|3|RRU TOP JUMPER|0.29
G900|4|RRU TOP JUMPER|0.37
G900|5|RRU TOP JUMPER|0.45
G900|6|RRU TOP JUMPER|0.53
G900|7|RRU TOP JUMPER|0.61
G900|8|RRU TOP JUMPER|0.69
G900|9|RRU TOP JUMPER|0.77
G900|10|RRU TOP JUMPER|0.85
G900|11|RRU TOP JUMPER|0.93
G900|12|RRU TOP JUMPER|1.01
U900|1|RRU TOP JUMPER|0.13
U900|2|RRU TOP JUMPER|0.21
U900|3|RRU TOP JUMPER|0.29
U900|4|RRU TOP JUMPER|0.37
U900|5|RRU TOP JUMPER|0.45
U900|6|RRU TOP JUMPER|0.53
U900|7|RRU TOP JUMPER|0.61
U900|8|RRU TOP JUMPER|0.69
U900|9|RRU TOP JUMPER|0.77
U900|10|RRU TOP JUMPER|0.85
U900|11|RRU TOP JUMPER|0.93
U900|12|RRU TOP JUMPER|1.01
L900|1|RRU TOP JUMPER|0.13
L900|2|RRU TOP JUMPER|0.21
L900|3|RRU TOP JUMPER|0.29
L900|4|RRU TOP JUMPER|0.37
L900|5|RRU TOP JUMPER|0.45
L900|6|RRU TOP JUMPER|0.53
L900|7|RRU TOP JUMPER|0.61
L900|8|RRU TOP JUMPER|0.69
L900|9|RRU TOP JUMPER|0.77
L900|10|RRU TOP JUMPER|0.85
L900|11|RRU TOP JUMPER|0.93
L900|12|RRU TOP JUMPER|1.01
L1800|1|RRU TOP JUMPER|0.20
L1800|2|RRU TOP JUMPER|0.33
L1800|3|RRU TOP JUMPER|0.46
L1800|4|RRU TOP JUMPER|0.59
L1800|5|RRU TOP JUMPER|0.72
L1800|6|RRU TOP JUMPER|0.85
L1800|7|RRU TOP JUMPER|0.98
L1800|8|RRU TOP JUMPER|1.11
L1800|9|RRU TOP JUMPER|1.24
L1800|10|RRU TOP JUMPER|1.37
L1800|11|RRU TOP JUMPER|1.50
L1800|12|RRU TOP JUMPER|1.63
G1800|1|RRU TOP JUMPER|0.20
G1800|2|RRU TOP JUMPER|0.33
G1800|3|RRU TOP JUMPER|0.46
G1800|4|RRU TOP JUMPER|0.59
G1800|5|RRU TOP JUMPER|0.72
G1800|6|RRU TOP JUMPER|0.85
G1800|7|RRU TOP JUMPER|0.98
G1800|8|RRU TOP JUMPER|1.11
G1800|9|RRU TOP JUMPER|1.24
G1800|10|RRU TOP JUMPER|1.37
G1800|11|RRU TOP JUMPER|1.50
G1800|12|RRU TOP JUMPER|1.63
U2100|1|RRU TOP JUMPER|0.20
U2100|2|RRU TOP JUMPER|0.33
U2100|3|RRU TOP JUMPER|0.46
U2100|4|RRU TOP JUMPER|0.59
U2100|5|RRU TOP JUMPER|0.72
U2100|6|RRU TOP JUMPER|0.85
U2100|7|RRU TOP JUMPER|0.98
U2100|8|RRU TOP JUMPER|1.11
U2100|9|RRU TOP JUMPER|1.24
U2100|10|RRU TOP JUMPER|1.37
U2100|11|RRU TOP JUMPER|1.50
U2100|12|RRU TOP JUMPER|1.63
L2100|1|RRU TOP JUMPER|0.20
L2100|2|RRU TOP JUMPER|0.33
