RRU|Band|GSM TRX#|UMTS cell#|LTE cell#|GSM Pwr Viva|UMTS Pwr Viva|LTE Pwr Viva|
5519et|900|1|1|1|40|40|40|
5515t|900|1|1|1|40|40|40|
5513|1800||1|1||40|40|
5513|2100||1|1||20|40|
5909|2100||1|1||20|40|
3804|2100||1|||40||
3804|2100||2|||30||
3804|2100||3|||20||
3804|2100||4|||15||
2x3804|2100||1|||40||
2x3804|2100||2|||40||
2x3804|2100||3|||30||
2x3804|2100||4|||30||
3826|2100||1|||40||
3826|2100||2|||40||
3826|2100||3|||26||
3826|2100||4|||20||
3826|2100||1|1||||
3826|2100||2|1||||
3826|2100||3|1||||
3826|2100||4|1||||
2x3826|2100||1|||80||
2x3826|2100||2|||80||
2x3826|2100||3|||40||
2x3826|2100||4|||40||
2x3826|2100||1|1||40|40|
2x3826|2100||2|1||40|40|
2x3826|2100||3|1||20|40|
3908v2|900|1|||40|||
3908v2|900|2|||40|||
3908v2|900|3|||20|||
3908v2|900|4|||20|||
3908v2|900|5|||15|||
3908v2|900|6|||15|||
3908v2|900|7|||13|||
3908v2|900|8|||13|||
3908v2|900||1|||40||
3908v2|900||2|||40||
3908v2|900||3|||20||
3908v2|900||4|||20||
3908v2|900|1|1||40|40||
3908v2|900|2|1||20|40||
3908v2|900|3|1||13|40||
3908v2|900|4|1||10|40||
3908v2|900|5|1||6|40||
3908v2|900|1|2||40|20||
3908v2|900|2|2||20|20||
3908v2|900|3|2||13|20||
3908v2|900|4|2||10|20||
3926|900|1|||40|||
3926|900|2|||40|||
3926|900|3|||27|||
3926|900|4|||20|||
3926|900|5|||16|||
3926|900|6|||12|||
3926|900|7|||10|||
3926|900|8|||7|||
3926|900||1|||40||
3926|900||2|||40||
3926|900||3|||25||
3926|900||4|||20||
3926|900|1|1||40|40||
3926|900|1|2|||||
3926|900|1|2||26|26||
3926|900|2|1||26|26||
3926|900|2|1|||||
3926|900|2|1|||||
3926|900|2|2||20|20||
3926|900|3|1||20|20||
3926|900|3|2||16|10||
3926|900|3|2||13|20||
3926|900|4|1||12|20||
3926|900|4|2||12|10||
3926|900|5|1||10|20||
3926|900|5|2||10|10||
3926|900|6|1||10|10||
3926|900|6|2||8|10||
3926|900|7|1||8|10||
2x3926|900|1|||40|||
2x3926|900|2|||40|||
2x3926|900|3|||40|||
2x3926|900|4|||40|||
2x3926|900|5|||26|||
2x3926|900|6|||26|||
2x3926|900|7|||20|||
2x3926|900|8|||20|||
2x3926|900||1|||40||
2x3926|900||2|||40||
2x3926|900||3|||40||
2x3926|900||4|||40||
2x3926|900|1|1||40|40||
2x3926|900|1|2||40|40||
2x3926|900|2|1||40|40||
2x3926|900|2|2||40|40||
2x3926|900|3|1||40|40||
2x3926|900|3|2||26|40||
2x3926|900|4|1||26|40||
2x3926|900|4|2||20|40||
2x3926|900|5|1||20|40||
2x3926|900|5|2||16|40||
2x3926|900|6|1||20|40||
2x3926|900|6|2||12|40||
2x3926|900|7|1||10|40||
2x3926|900|||1|||60|
2x3926|900|1||1|40||40|
2x3926|900|2||1|40||40|
2x3926|900||1|1||40|40|
2x3926|900|1|1|1|40|40|40|
2x3926|900|2|1|1|30|40|20|
3936|900|1|||40|||
3936|900|2|||40|||
3936|900|3|||26|||
3936|900|4|||20|||
3936|900|5|||16|||
3936|900|6|||12|||
3936|900|7|||10|||
3936|900|8|||7|||
3936|900||1|||40||
3936|900||2|||40||
3936|900||3|||26||
3936|900||4|||20||
3936|900|1|1||40|40||
3936|900|1|2|||||
3936|900|1|2||26|26||
3936|900|2|1||26|26||
3936|900|2|1|||||
3936|900|2|1|||||
3936|900|2|2||20|20||
3936|900|3|1||20|20||
3936|900|3|2||16|10||
3936|900|3|2||13|20||
3936|900|4|1||12|20||
3936|900|4|2||12|10||
3936|900|5|1||10|20||
3936|900|5|2||10|10||
3936|900|6|1||10|10||
3936|900|6|2||8|10||
3936|900|7|1||8|10||
2x3936|900|||1|||60|
2x3936|900|1||1|40||40|
2x3936|900|2||1|40||40|
2x3936|900||1|1||40|40|
2x3936|900|1|1|1|40|40|40|
2x3936|900|2|1|1|30|40|20|
2x3936|900|1|||40|||
2x3936|900|2|||40|||
2x3936|900|3|||40|||
2x3936|900|4|||40|||
2x3936|900|5|||26|||
2x3936|900|6|||26|||
2x3936|900|7|||20|||
2x3936|900|8|||20|||
2x3936|900||1|||40||
2x3936|900||2|||40||
2x3936|900||3|||40||
2x3936|900||4|||40||
2x3936|900|1|1||40|40||
2x3936|900|1|2||40|40||
2x3936|900|2|1||40|40||
2x3936|900|2|2||40|40||
2x3936|900|3|1||40|40||
2x3936|900|3|2||26|40||
2x3936|900|4|1||26|40||
2x3936|900|4|2||20|40||
2x3936|900|5|1||20|40||
2x3936|900|5|2||16|40||
2x3936|900|6|1||20|40||
2x3936|900|6|2||12|40||
2x3936|900|7|1||10|40||
3936|1800|1|||40|||
3936|1800|2|||40|||
3936|1800|3|||26|||
3936|1800|4|||20|||
3936|1800|5|||16|||
3936|1800|6|||12|||
3936|1800|7|||10|||
3936|1800|8|||7|||
3936|1800|1||1|40||40|
3936|1800|2||1|20||40|
3936|1800|2||1||||
3936|1800|3||1|20||20|
3936|1800|4||1|12||20|
3936|1800|5||1|10||20|
3936|1800|6||1|10||10|
3936|1800|7||1|8||10|
3936|1800|||1|||60|
3936|1800|||1||||
3936|1800|||2|||40|
2x3936|1800|1|||40|||
2x3936|1800|2|||40|||
2x3936|1800|3|||40|||
2x3936|1800|4|||40|||
2x3936|1800|5|||26|||
2x3936|1800|6|||26|||
2x3936|1800|7|||20|||
2x3936|1800|8|||20|||
2x3936|1800|||1|||60|
2x3936|1800|||2|||40|
2x3936|1800|1||1|40||40|
2x3936|1800|2||1|40||40|
2x3936|1800|3||1|20||40|
2x3936|1800|4||1|20||40|
2x3936|1800|5||1|12||40|
2x3936|1800|6||1|12||40|
2x3936|1800|7||1|10||40|
3953|900|1|||40|||
3953|900|2|||40|||
3953|900|3|||30|||
3953|900|4|||30|||
3953|900|5|||20|||
3953|900|6|||20|||
3953|900|7|||15|||
3953|900|8|||15|||
3953|900||1|||40||
3953|900||2|||40||
3953|900||3|||40||
3953|900||4|||40||
3953|900||5|||26||
3953|900||6|||26||
3953|900|||1|||60|
3953|900|||2|||40|
3953|900|||3|||20|
3953|900|1|1|||||
3953|900|1|2|||||
3953|900|1|3|||||
3953|900|1|4|||||
3953|900|2|1|||||
3953|900|2|2|||||
3953|900|2|3|||||
3953|900|2|4|||||
3953|900|3|1|||||
3953|900|3|2||26|40||
3953|900|3|3|||||
3953|900|3|4|||||
3953|900|4|1|||||
3953|900|4|2|||||
3953|900|4|3|||||
3953|900|4|4|||||
3953|900|5|1|||||
3953|900|5|2|||||
3953|900|5|3|||||
3953|900|6|1|||||
3953|900|6|2|||||
3953|900|1|1|||||
3953|900|1|2|||||
3953|900|1|1||40|40||
3953|900|1|2||40|40||
3953|900|1|3|||||
3953|900|1|4|||||
3953|900|2|1|||||
3953|900|2|1||40|40||
3953|900|2|2|||||
3953|900|2|2||40|40||
3953|900|2|3|||||
3953|900|2|3|||||
3953|900|2|4|||||
3953|900|3|1||40|40||
3953|900|3|2|||||
3953|900|3|2|||||
3953|900|3|2|||||
3953|900|3|3|||||
3953|900|3|3|||||
3953|900|3|4|||||
3953|900|4|1|||||
3953|900|4|1||26|40||
3953|900|4|2||20|40||
3953|900|4|2|||||
3953|900|4|2|||||
3953|900|4|3|||||
3953|900|4|4|||||
3953|900|5|1|||||
3953|900|5|1||26|26||
3953|900|5|2||20|20||
3953|900|5|2|||||
3953|900|5|2|||||
3953|900|6|1||20|40||
3953|900|6|2||20|20||
3953|900|6|2|||||
3953|900|7|1|||||
3953|900|7|1||20|20||
3953|900|1||1|40||40|
3953|900|1||1||||
3953|900|2||1||||
3953|900|2||1|40||40|
3953|900|2||1||||
3953|900|3||1|20||40|
3953|900|3||1||||
3953|900|3||1||||
3953|900|4||1|20||40|
3953|900|4||1||||
3953|900|4||1||||
3953|900|5||1|20||20|
3953|900|5||1||||
3953|900|6||1|15||20|
3953|900|6||1||||
3953|900||1|1||40|40|
3953|900||2|1||40|40|
3953|900||3|1||20|40|
3953|900||4|1||20|40|
3953|1800|1|||40|||
3953|1800|2|||40|||
3953|1800|3|||30|||
3953|1800|4|||30|||
3953|1800|5|||20|||
3953|1800|6|||20|||
3953|1800|7|||15|||
3953|1800|8|||15|||
3953|1800|||1|||60|
3953|1800|||1||||
3953|1800|||2|||40|
3953|1800|1||1|40||40|
3953|1800|1||1||||
3953|1800|2||1|40||40|
3953|1800|2||1||||
3953|1800|3||1|20||40|
3953|1800|3||1||||
3953|1800|3||1||||
3953|1800|4||1|20||40|
3953|1800|4||1||||
3953|1800|4||1||||
3953|1800|5||1|20||20|
3953|1800|5||1||||
3953|900|||1|||60|
3953|900|1||1|40||40|
3953|900|2||1|40||40|
3953|900||1|1||40|40|
3953|900|1|1|1|40|40|40|
3953|900|2|1|1|30|40|20|
3953|2100||1|1||40|40|
3953|2100||2|1||40|40|
3953|2100||3|1||20|40|
3953|2100||1|||80||
3953|2100||2|||80||
3953|2100||3|||40||
3953|2100|||1|||80|
3911B|2100||1|||0.125||
3911B|1800|||1|||0.125|
3911B|1800/2100||1|1||0.125|0.125|
3911E|2100||1|||5||
3911E|2100||2|||5||
3911E|2100||3|||2.5||
3911E|2100||4|||||
3911E|1800|||1|||5|
3911E|1800|||2|||5|
3911E|1800/2100||2|1||5|5|
5304|2600|||1|||60|
5905|1800|||1|||60|
5905|1800|||2|||40|
